email_text,label
Congratulations! You have won a free lottery. Click here to claim.,1
Meeting at 3 PM today regarding project update.,0
Limited offer!!! Buy now and get 50% off. Visit our website.,1
Can we reschedule our call to tomorrow?,0
Your account has been suspended. Verify your details immediately.,1
Lunch at 1 PM? Let me know.,0
Earn money quickly from home!!! Click to learn more.,1
Please review the attached document and send feedback.,0
Cheap loans available now. Apply today!,1
Team outing planned next Friday. RSVP required.,0
